text,label,dialect,type
نلتقي أو مانلتقي أنت في حفظ الله وفي قلبي أنا,0,standard,positive
غبي الله يزيد غبائك,0,standard,negative
برافو بغض النظر عن الدين الواحد يحافظ غ على انسانيته دبا بنادم كيدير شي افعال يخوه تستحي الوحوش تفعلها بنظيرتها و اللي هي غ وحوش انعدمت الانسانية بغض النظر عن التوجه الديني الا من رحم ربي,1,dialectal,mixed
نظام الهيما لمكافحة التصحر,0,standard,neutral
فصبر جميل ۖ والله المستعان على ما تصفون,0,standard,neutral
فيديو عظيم تحياتي بهاد الطريقة بامكانك تتخصص في فلسفة العلوم خصوصا فلسفة الرياضيات,0,standard,positive
لاعب لا يستحق كل تلك الاموال,0,standard,negative
جميعهم خريجو المدرسة الملكية,0,standard,neutral
حناجر أساتذة تنادي بإسقاط التعاقد في وزان,0,standard,neutral
قصة الأندلس من القصص لي كتعجبني بزاف خصوصا الفترة ديال عبد الرحمان الداخل,1,dialectal,positive
كلك ذوق شكرا,0,standard,positive
اقلهن مهرا اكثرهن بركة,0,standard,positive
أجاكس يكافئ مزراوي على تألقه بتمديد العقد,0,standard,neutral
أصبت و الله ياليت كل عابر يعتبر,0,standard,neutral
تسلم يا الغالي لكن بعض الناس الله يهديهم يبحثون عن السبب ليجعلو من الحبة قبة,1,dialectal,mixed
لقيتك نور الدنيا ، لقيتك من عجايبها,1,dialectal,positive
ضحكت من اجل انقاذ مستقبلي,0,standard,positive
أتمنى ان لا ينشدك الحنين الى المغرب,0,standard,positive
استغفر الله العظيم واتوب إليه,0,standard,positive
إختلت موازينك ياوطني حتى صارت سماءك تمطر عهرا,0,standard,negative
غتلقاه في منجد غزل للاكتشافات,1,dialectal,neutral
اللهم أغثنا ولا تجعلنا من القانطين اللهم أنت الغني ونحن الفقراء، اللهم انشر علينا رحمتك بالسحاب، سحابا مغيثا هنيئا نافعا غير ضار,0,standard,positive
حتى انت عزيزة عليك القهوة؛,1,dialectal,neutral
جرحوني يوم قالوا لو يحبك ما رحل,0,standard,negative
خط جميل ما شاء الله,0,standard,positive
سيأتي دور أيامك الجميلة وأحلامك الحلوة,0,standard,positive
الحمد لله الحدود مسدودة,0,standard,positive
لا لا ماكاينش داكشي غير كذبو عليك,1,dialectal,neutral
مساء الورد وياسمين يا اخي جمال الله يسعدك في دارين وكل اهل واحباب,0,standard,positive
صباحكم سعيد,0,standard,positive
اطمئن فما ضاقت إلا ليفرجها الله عليك فصبرا,0,standard,positive
الصيف هنا مكاين غي الإحتفالات,1,dialectal,positive
وعدتكم بالابداع فرأينا الامتاع والابداع واجمل كورة,0,standard,positive
غدا ان شاء الله غادي ندخلوا فعام جديد و إن كان بالنسبة ليا عام ولا يرحم على عام التجارة غادي كتنقص التربية غادي و كتفلس البؤس غير متايزيد و حنا غادين و نكبرو المهم الله يكبرنا على طاعة الله و سنة سعيدة و تكون احسن من اللي دازت,1,dialectal,mixed
حشومة عليهم,1,dialectal,negative
اعتقد أنك بحاجة ماسة لزيارة أقرب طبيب نفساني انت حالة نفسية مرضية,0,standard,negative
مرحبا الله يسخر,1,dialectal,positive
شكون بحالك,1,dialectal,positive
ستعيش الامة الاسلامية اسوأ خمس سنوات في تاريخها ستصل الى الحضيض المطلق و تنهار,0,standard,negative
اللهم إني قد سامحت نفسي وسامحت كل من أساء إلي اللهم فاشهد اللهم عوضني عوضا من عندك يرضيني ويقربني منك يا أرحم الراحمين,0,standard,positive
صراحة معمر الوالد فيقني كنت إلى صبحت ناعس نهار واحد كتسمع ديك الجملة الشهيرة فينما ندوز نلقاك ناعس,1,dialectal,neutral
الانكسار من اسوء الاشياء,0,standard,negative
حقيقة مؤلمة السائل ممكن سؤال يا شيخ الشيخ تفضل السائل صف لنا حال السلف مع القرآن الشيخ نفس حالنا مع الجوال خير الكلام ما قل ودل الله المستعان,0,standard,negative
المشكلة ان السوشل ميديا تزيد تشعل و تكبر المشكل و صعيب تطفيه الله يحد البأس,1,dialectal,negative
و السلام الناس تحب تتفرج و تتعجب و تتشفى,1,dialectal,positive
ويل لقاضي الأرض من قاضي السماء,0,standard,negative
تبارك الله عليك عمي حسن محظوظة الاستاذة,0,standard,positive
اللهم ثبتنا على الصلاة حبا وليس فرضا,0,standard,positive
مجتمع منافق,0,standard,negative
اكيد اكيد,0,standard,positive
حقا انتي ملكة في عزتها وشموخها,0,standard,positive
مبادرة طيبة منك و هذا ان دل فهو يدل على لطفك و علو اخلاقك و اختي و صديقتي الغالية اكيد تستاهل كل تغويداتها نيرة و مفيدة و مفعمة بالمعرفة و الثقافة اتمنى لها السعادة و التوفيق,1,dialectal,positive
تعادل اخر بشق الانفس واخر الدقائق مع فريق غير منافس سياسة الترقيع لن تنفع اسي خاريدو,1,dialectal,negative
لااله الاانت سبحانك اني كنت من الظالمين,0,standard,positive
لا يدخل مكان إلا وأفسده و أفشى فيه الفساد,0,standard,negative
إن الله وملائكته يصلون على النبي ۚ يا أيها الذين آمنوا صلوا عليه وسلموا تسليما,0,standard,neutral
مفيش حاجة تقهر اكتر من لفلوس اصلا,1,dialectal,neutral
الله يسامح,0,standard,positive
الله ارحم من رباك,0,standard,positive
رأيي المتواضع عطيتو,1,dialectal,positive
لاعب عادي ولا ويستحق حمل قميص برشلونة,0,standard,negative
عقلية تهميش الشباب هي علة العلل في عدم تقدم الأوطان بمن فيه الشياب و الشباب,0,standard,negative
عزيز عليك الضحك,1,dialectal,positive
هو لم يحبها هي هو أحب جزء منه وضعه الله في اقرب مكان الى قلبه وهو ضلعه,0,standard,positive
الأمل يا أستاذ,0,standard,positive
هادي خلاصة ما داز عليا,1,dialectal,neutral
انا هنا اتكلم عن نفسي,0,standard,neutral
و قل استغفروا ربكم انه كان غفارا استغفر الله العظيم و اتوب اليه,0,standard,positive
راني عرفت كاينة,1,dialectal,neutral
لم أتغير إلا بعد ان تأذيت أكثر مما أستحق,0,standard,negative
ياخسارة العروبة فيك,0,standard,negative
لا يحترم من يكبره سنا ماذا تنتظر منه غير الإنحطاط و التسيب,0,standard,negative
الله يكمل عليها و عليك,1,dialectal,positive
وايلي التعليم فالمغرب يحتدى به,1,dialectal,positive
مدريد دائما بيضاء كبياض الثلج,0,standard,positive
دولة الإهمال أسوأ من دولة الإحتلال,0,standard,negative
سيري أ سعاد الله يفرحك,1,dialectal,positive
